facility,in_degree,out_degree,degree
IND000000AAL,1,1,2
IND411033AAA,23,20,43
IND000000AAQ,0,1,1
IND700028AAB,2,1,3
IND000000AAS,1,1,2
IND783370AAC,1,1,2
IND000000AAZ,2,2,4
IND444203AAA,2,1,3
IND444303AAA,1,1,2
IND000000ABA,1,1,2
IND683565AAA,1,1,2
IND000000ABD,1,1,2
IND562132AAA,36,35,71
IND000000ABG,0,1,1
IND501359AAF,3,0,3
IND000000ACA,13,9,22
IND140406AAA,1,1,2
IND142001AAB,2,2,4
IND142401AAA,2,1,3
IND143001AAA,3,1,4
IND144001AAB,5,5,10
IND144514AAA,1,2,3
IND147301AAA,2,2,4
IND152026AAA,6,7,13
IND160002AAC,32,29,61
IND000000ACB,45,49,94
IND000000AEL,1,1,2
IND110024AAA,3,1,4
IND110030AAD,2,1,3
IND110037AAK,1,1,2
IND110043AAA,3,2,5
IND110043AAC,1,1,2
IND110052AAA,1,1,2
IND110064AAA,2,3,5
IND110085AAB,4,5,9
IND110092AAC,3,2,5
IND110095AAB,1,1,2
IND121002AAB,1,1,2
IND121004AAB,9,7,16
IND122001AAA,2,5,7
IND122015AAC,1,0,1
IND124103AAA,1,1,2
IND124112AAA,1,3,4
IND125001AAA,7,8,15
IND125005AAA,4,5,9
IND125033AAA,2,2,4
IND127021AAA,2,1,3
IND131028AAB,20,20,40
IND201001AAC,2,2,4
IND201007AAA,8,5,13
IND201301AAF,8,3,11
IND201301AAM,1,1,2
IND209304AAA,16,13,29
IND282002AAD,6,5,11
IND301001AAB,5,3,8
IND301705AAA,2,1,3
IND302014AAA,10,8,18
IND302022AAD,1,1,2
IND328001AAA,3,3,6
IND382430AAB,17,13,30
IND390022AAA,5,4,9
IND421302AAG,29,29,58
IND462022AAA,13,9,22
IND474003AAA,8,6,14
IND501359AAE,30,27,57
IND521225AAB,8,8,16
IND600056AAB,18,18,36
IND712311AAA,24,22,46
IND751002AAB,13,6,19
IND821115AAB,6,5,11
IND834002AAB,5,7,12
IND842001AAA,12,15,27
IND000000ACK,0,1,1
IND000000ACN,1,1,2
IND000000ACT,0,3,3
IND000000ADM,1,1,2
IND683511AAA,13,7,20
IND000000ADV,0,1,1
IND600044AAC,3,0,3
IND000000AEM,0,2,2
IND110037AAB,1,0,1
IND110064AAB,1,0,1
IND000000AET,1,1,2
IND000000AFF,1,1,2
IND734203AAA,1,0,1
IND000000AFG,0,2,2
IND673027AAB,1,2,3
IND673632AAA,2,4,6
IND000000AFJ,1,2,3
IND695121AAA,1,2,3
IND695572AAB,3,2,5
IND000000AFR,0,1,1
IND000000AFT,5,8,13
IND400072AAB,11,11,22
IND400701AAA,1,2,3
IND400706AAA,1,1,2
